"Pipedrive Name", "Capsule Name"
"Carpet Designers", "Carpet Designers"
"Paint & Paper", "Paint & Paper"
"Bockrath Carpet & Rugs", "Bockrath Carpet & Rugs"
"Bode Floors, Div. CB Flooring", "Bode Floors, Div. CB Flooring"
"Boro Rug & Carpet", "Boro Rug & Carpet"
"Bradford Carpet One", "Bradford Carpet One"
"Mitchell's Floor Designs", "Mitchell's Floor Designs"
"Flooring America of Franklin", "Flooring America of Franklin"
"Go Green Flooring (Carpet Line)", "Go Green Flooring (Carpet Line)"
"Brentwood Carpets Inc", "Brentwood Carpets Inc"
"Weber Carpet Inc.", "Weber Carpet Inc."
"Hemphill's Rugs & Carpets", "Hemphill's Rugs & Carpets"
"Carousel Carpet and Floors Inc", "Carousel Carpet and Floors Inc"
