"Pipedrive Name", "Capsule Name"
"Cleveland Floor Covering/Abbey 341", "Cleveland Floor Covering/Abbey 341"
"Carpetland", "Kent's Carpetland"
"Flooring America", "Kepples Carpet Flooring America"
"Kermans Fine Flooring", "Kermans Fine Flooring"
"Kerns Carpets", "Kerns Carpets"
"Metro Design Center", "Metro Design Center"
"Marett Carpet", "Marett Carpet"
"Carpet One", "Carpet One Glenwood"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Wayne Wiles Floor Covering", "Wayne Wiles Floor Covering"
"Kisers Floor Fashions", "Kisers Floor Fashions"
"KPM Flooring", "KPM Flooring"
"Krauseneck Carpet One Floor & Home", "Krauseneck Carpet One Floor & Home"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Kuhn Carpet and Tile", "Kuhn Carpet and Tile"
"Meelan Rug Co.", "Meelan Rug Co."
"La Salle Bristol", "La Salle Bristol"
"LaCour`s Carpet World Abbey Carpet & Floor", "LaCour`s Carpet World Abbey Carpet & Floor"
"Excelsior Paint and Design - Carpet One", "Excelsior Paint and Design - Carpet One"
"Landers Premier Flooring", "Landers Premier Flooring"
"Landry & Arcari", "Landry & Arcari"
"LaRocco Floor Coverings", "LaRocco Floor Coverings, Inc."
"Brumbaugh's Fine Home Furnishings", "Brumbaugh's Fine Home Furnishings"
"Floor Store", "Floor Store"
"Leftwich Chapman Designer Floors", "Leftwich Chapman Designer Floors"
"Ambassador Floor Company", "Ambassador Floor Company"
"Burritt Brothers Carpets", "Burritt Brothers Carpets"
"Bailey's Carpet One Floor and Home", "Bailey`s Carpet One Floor and Home"
"Fishers Floor Covering", "Fishers Floor Covering"
"Leftwich Chapman Designer Floors", "Leftwich Chapman Designer Floors"
"Legacy Floor Covering", "Legacy Floor Covering"
"Lehms Inc/Carpetland", "Lehms Inc/Carpetland"
"Levi's 4 Floors", "Levi's 4 Floors"
"All About Flooring of SC", "All About Flooring of SC"
"Lewis Floor & Home", "Lewis Floor & Home"
"Lexington Carpet One", "Lexington Carpet One"
"Barb - Lin Carpet One", "Barb - Lin Carpet One"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Flooring Max / Main Office", "Flooring Max"
"Carpet One", "Lippert`s Carpet One"
"City Tile & Floor Covering", "City Tile & Floor Covering"
"The Dixie Group", "The Dixie Group, Inc."
"K & Y Carpet One Floor & Home", "K & Y Carpet One Floor & Home"
"Carlson's Floors", "Carlson's Floors Inc"
"American Rug Company", "American Rug Company"
"Flooring Max / Main Office", "Flooring Max"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Viking Range Corporation", "Viking Range Corporation"
"Viking Range Corporation", "Viking Range Corporation"
"ALFORDS HOUSE OF CPTS", "ALFORDS HOUSE OF CPTS"
"Classic Carpet One/Classic Floorcovering", "Classic Carpet One/Classic Floorcovering"
"Rysers Floorcovering", "Rysers Floorcovering"
"Lonnies Carpet", "Lonnies Carpet"
"Abbey Capitol Floors & Interiors", "Abbey Capitol Floors & Interiors"
"Summerlin Floors Inc.", "Summerlin Floors Inc."
"Prenger Furniture", "Prenger Furniture"
"Louis Shanks of Texas", "Louis Shanks of Texas"
"Luna Flooring Gallery", "Luna Flooring Gallery"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"M M M Carpets", "M M M Carpets"
"Macco's Flooring Inc", "Macco's Flooring Inc"
"Madison Carpet", "Madison Carpet"
"Magic Carpet & Drapery", "Magic Carpet & Drapery"
"Dover Fine Rug & Carpeting", "Dover Fine Rug & Carpeting"
"Malkins Carpets Inc.", "Malkins Carpets Inc."
"Maloney Carpet One", "Maloney Carpet One"
"Manasota Flooring Inc", "Manasota Flooring Inc"
"Mannington", "Mannington Mills, Inc."
"Marett Carpet", "Marett Carpet"
"Marina Carpet", "Marina Carpet"
"Grand Design", "Grand Design Floors"
"Color Interiors", "Color Interiors"
"Hoosier Floor Covering / Carpets Plus Colortile", "Hoosier Floor Covering / Carpets Plus Colortile"
"The Rug Gallery of Zionsville", "The Rug Gallery of Zionsville"
"Preferred Floors", "Preferred Floors"
"Atiyeh Brothers", "Atiyeh Brothers"
"Flooring Gallery & More / Robson Communities", "Flooring Gallery & More / Robson Communities"
"Carpet Your World", "Carpet Your World"
"Stoneridge Flooring Design", "Stoneridge Flooring Design"
"The Floor Store", "The Floor Store (AZ)"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Marshall Rug Gallery", "Marshall Rug Gallery"
"Marshfield Flooring", "Marshfield Flooring"
"Kisers Floor Fashions", "Kisers Floor Fashions"
"Malkins Carpets Inc.", "Malkins Carpets Inc."
"Sherlock's Carpet & Tile", "Sherlock's Carpet & Tile"
"Craft Rug Mills", "Craft Rug Mills"
"Brumbaugh's Fine Home Furnishings", "Brumbaugh's Fine Home Furnishings"
"Tuttle's Carpet & Draperies", "Tuttle's Carpet & Draperies"
"City Tile & Floor Covering", "City Tile & Floor Covering"
"Viking Range Corporation", "Viking Range Corporation"
"Rob's Custom Flooring", "Rob's Custom Flooring"
"Myers Floors & Interiors", "Myers Floors & Interiors"
"AW Rugs & Carpet", "AW Rugs & Carpet"
"Flooring America", "Mazza`s Flooring America"
"McCool's Flooring Outlet", "McCool's Flooring Outlet"
"McSwain Carpets", "McSwain Carpets"
"Meelan Rug Co.", "Meelan Rug Co."
"Carpet Specialists", "Carpet Specialists of Ishpeming Inc"
"CCA Global Partners, Inc.", "CCA Global Partners, Inc."
"Clean Carpets of New England dba Carpet Carousel", "Clean Carpets of New England dba Carpet Carousel"
"Menke Floors", "Menke Floors"
"Merkel Carpet One", "Merkel Carpet One"
"Design Gallery", "Design Gallery"
"Messner Carpeting", "Messner Carpeting"
"Metro Design Center", "Metro Design Center"
"Miami Carpet & Tile", "Miami Carpet & Tile"
"Absolute Floor Design", "Absolute Floor Designs LLC"
"Atlanta Flooring Design Center", "Atlanta Flooring Design Center"
"Cinderella Flooring Carpet One", "Cinderella Flooring Carpet One"
"Carpet Gallery", "Angelo's Carpet Gallery"
"All About Flooring of SC", "All About Flooring of SC"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Viking Range Corporation", "Viking Range Corporation"
"McSwain Carpets", "McSwain Carpets"
"Michigan Tile and Carpet", "Michigan Tile and Carpet"
"Essis & Sons Carpet", "Essis & Sons Carpet"
"Mid-West Flr Co", "Mid-West Flr Co"
"Migala Carpet One Floor & Home", "Migala Carpet One Floor & Home"
"Kelly's Carpet Omaha", "Kelly's Carpet Omaha"
"Tire Centers Inc. ", "Tire Centers Inc."
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Kelley Karpets", "Kelley Karpets"
"Ozark Floors", "Ozark Floors"
"Tire Centers Inc. ", "Tire Centers Inc."
"Carpet One", "Oscar's Carpet One"
"Milburn Carpet One", "Milburn Carpet One"
"Mill Creek Carpet and Tile", "Mill Creek Carpet & Tile"
"Mitchell's Floor Designs", "Mitchell's Floor Designs"
"Mizell Floor Covering", "Mizell Floor Covering"
"Modern Tile & Carpet, Inc", "Modern Tile & Carpet, Inc"
"Montgomery Carpets", "Montgomery Carpet"
"Montgomerys Furniture", "Montgomery Furniture"
"Moorman's Carpets Inc", "Moorman's Carpets Inc"
"Morrison - Clark Inc", "Morrison - Clark Inc"
"MUFI International / Park Carpet", "MUFI International / Park Carpet"
"Murison`s Flooring America", "Murison`s Flooring America"
"Flooring America", "My Dad's Flooring America"
"Myers Carpet", "Myers Carpet"
"Myers Carpet", "Myers Carpet TN"
"Myers Floors & Interiors", "Myers Floors & Interiors"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Nantucket Home", "Nantucket Home"
"Mannington", "Mannington Mills, Inc."
"K.A. Pridjian & Co.", "K.A. Pridjian & Co."
"Carpet One Tucson", "National Carpet / Carpet One Tucson"
"Carpet Gallery", "Carpet Gallery"
"Neff`s Custom Designs", "Neff`s Custom Designs"
"T.F. Andrew Company", "T.F. Andrew Company"
"Flooring America", "The Famous Carpet Barn / Flooring America"
"Nigohsian Carpet and Rug", "Nigohsian Carpet and Rug"
"NJDX New Jeresy Decorating Exchange", "NJDX New Jeresy Decorating Exchange"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Northern Flooring & Interiors", "Northern Flooring & Interiors"
"O'Briens Carpet One", "O'Briens Carpet One"
"Onondaga Flooring", "Onondaga Flooring"
"Pace Stone", "Pace Stone"
"Palmetto Carpet & Floor Covering", "Palmetto Carpet & Floor Covering"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Paramount Rug Co", "Paramount Rug Co"
"PARKER FURNITURE", "Parker Furniture"
"Drenners Carpet Gallery", "Drenners Carpet Gallery"
"Roberts Floorcovering, Inc.", "Roberts Floorcovering, Inc."
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Morrison - Clark Inc", "Morrison - Clark Inc"
"Riemer Floors", "Riemer Floors"
"McCool's Flooring Outlet", "McCool's Flooring Outlet"
"Peek's Carpet & Tile", "Peek's Carpet & Tile"
"Peerless Imported Rugs", "Peerless Imported Rugs"
"Carpet Value Center / Flooring America of White Plains", "Carpet Value Center / Flooring America of White Plains"
"Permanent Floors Carpet One", "Permanent Floors"
"Giant Floor & Wallcovering", "Giant Floor & Wallcovering"
"Dalton West of Newnan", "Dalton West of Newnan"
"Messner Carpeting", "Messner Carpeting"
"G Fried Carpet", "G Fried Carpet"
"Miami Carpet & Tile", "Miami Carpet & Tile"
"Flooring Systems", "JP Flooring Systems, Inc."
"Phillips Floor to Ceilings", "Phillips Floor to Ceilings"
"Piedmont Flooring & Design / Kemper Carpet", "Piedmont Flooring & Design / Kemper Carpet"
"PJ's Decorative Fabrics", "PJ's Decorative Fabrics"
"Poppell Brothers", "Poppell Brothers"
"Powers Carpet One", "Powers Carpet One"
"Preferred Floors", "Preferred Floors"
"Prenger Furniture", "Prenger Furniture"
"Prestige Carpets", "Prestige Carpet"
"Pumco Interiors", "Pumco Interiors"
"Quality Carpet", "Quality Carpet One Flooring"
"Grand Design", "Grand Design Floors"
"ROBERTS Carpet & Fine Floors", "ROBERTS Carpet & Fine Floors"
"Stinson Carpet Inc", "Stinson Carpet Inc"
"Flooring America", "Alpine Flooring America"
"Floor Rio & Abbey Carpets Inc", "Floor Rio & Abbey Carpets Inc"
"RC Wiley", "RC Willey"
"Home Plus Floors", "Home Plus Floors"
"Rice Furniture Co Inc", "Rice Furniture Co Inc"
"Carpet One", "East Windsor Carpet One"
"The King Of Carpets", "The King Of Carpets"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"RPM Carpets & Floor Coverings", "RPM Carpets & Floor Coverings"
"Rick's Carpet and Flooring", "Rick's Carpet and Flooring"
"Riemer Floors", "Riemer Floors"
"Rite Loom Carpet Co", "Rite Loom Carpet Co"
"River Floors", "River Floors"
"Luna Flooring Gallery", "Luna Flooring Gallery"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Rob's Custom Flooring", "Rob's Custom Flooring"
"The Carpetman", "The Carpetman"
"Viking Range Corporation", "Viking Range Corporation"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Ace Flooring", "Ace Flooring Systems Inc"
"ROBERTS Carpet & Fine Floors", "ROBERTS Carpet & Fine Floors"
"Roberts Floorcovering, Inc.", "Roberts Floorcovering, Inc."
"Rochester Linoleum & Carpet", "Rochester Linoleum & Carpet"
"Ruggs Benedict", "Ruggs Benedict"
"Hatch Furniture", "Hatch Furniture"
"Hunter Douglas N.V.", "Hunter Douglas N.V."
"Ropposch Brothers Floor Covering Inc", "Ropposch Brothers Floor Covering Inc"
"Speedwell Design", "Speedwell Design"
"Carpet One Floor & Home", "Roseville Carpet One Floor & Home"
"Rotmans Furniture & Carpet", "Rotmans Furniture & Carpet"
"Rustigian Rugs", "Rustigian Rugs"
"Rug and Home", "Rug and Home"
"Rug Masters, Inc", "Rug Masters"
"Hagopian Rug Outlet", "Rug Outlet"
"Ruggs Benedict", "Ruggs Benedict"
"Carpeteria-Semerjian", "Rugs Express / CARPETERIA-SEMERJIAN"
"Runyon`s Furniture & Floor Covering", "Runyon`s Furniture & Floorcovering"
"Rusmur Floors", "Rusmur Floors"
"Menke Floors", "Menke Floors"
"Russells House of Furniture", "Russells House of Furniture"
"Rysers Floorcovering", "Rysers Floorcovering"
"Sail On Carpet", "Sail on Carpet"
"Saliba's Rug Sales & Service", "Saliba's Rug Sales & Service"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"Carpetland", "Carpetland"
"The Rug Gallery", "The Rug Gallery"
"ROBERTS Carpet & Fine Floors", "ROBERTS Carpet & Fine Floors"
"Stevens Carpet One", "Stevens Carpet One"
"Sams Carpet", "Sams Carpet"
"Barnard's Carpet One", "Barnard's Carpet One"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Broadway Carpet", "Broadway Carpet"
"Carpet One Floor & Home", "Jabro Carpet One Floor & Home"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Sarkissian Carpet One", "Sarkissian Carpet One"
"Tire Centers Inc. ", "Tire Centers Inc."
"Carpet Corner", "Carpet Corner"
"World of Carpet One Floor & Home", "World of Carpet One Floor & Home"
"Hester's Abbey Floor Covering", "Hester's Abbey Floor Covering"
"Fox Floors", "Fox Floors"
"Gardner Floor Covering", "Gardner Floor Covering"
"Flooring America", "Kepples Carpet Flooring America"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Carpets of Dalton", "Carpets of Dalton"
"SELECT CARPET AND FLOOR INC.", "SELECT CARPET AND FLOOR INC."
"Sergenian`s Floor Coverings", "Sergenian`s Floor Coverings"
"Shaheen Floor Gallery", "Shaheen Floor Gallery"
"Fishers Floor Covering", "Fishers Floor Covering"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Hunter Douglas Inc", "Hunter Douglas Inc"
"Sharp Carpet & Ceramic Tile Inc", "Sharp Carpet & Ceramic Tile Inc"
"Flooring America", "A&M Flooring America/A&M Carpet"
"Sherlock's Carpet & Tile", "Sherlock's Carpet & Tile"
"Abbey Carpet Flooring & Design Center", "Abbey Carpet Flooring & Design Center"
"Sistare Carpets Inc", "Sistare Carpets Inc"
"Carpet One", "Skelton's Carpet One"
"Specialty Carpet Showroom", "Specialty Carpet Showroom"
"Speedwell Design", "Speedwell Design"
"Speers Road Broadloom", "Speers Road Broadloom"
"Sprintz Furniture Showroom", "Sprintz Furniture Showroom"
"Viking Range Corporation", "Viking Range Corporation"
"Drexel Incorporated", "Drexel Incorporated"
"Standale Interiors", "Standale Interiors"
"Steffen Furniture", "Steffen Furniture"
"Carpet Village", "Carpet Village"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Arnold's Carpet Max", "Arnold's Carpet Max"
"M M M Carpets", "M M M Carpets"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"LaCour`s Carpet World Abbey Carpet & Floor", "Abbey Carpet & Floor"
"Issis & Sons Carpet & Oriental Rugs", "Issis & Sons Carpet & Oriental Rugs"
"Carpet One", "Westland Carpet One"
"Crest Wholesale Carpet Distributors", "Crest Wholesale Carpet Distributors/Crown Carpetland"
"Mannington", "Mannington Mills, Inc."
"Ramey Rug", "Ramey Rug"
"Lewis Floor & Home", "Lewis Floor & Home"
"Stevens Carpet One", "Stevens Carpet One"
"Stinson Carpet Inc", "Stinson Carpet Inc"
"Stokes Floor Covering", "Stokes Floor Covering"
"Stoneridge Flooring Design", "Stoneridge Flooring Design"
"Michael's Floor Covering", "Studer's Floor Covering; Michael's Floor Covering"
"Suburban Floor Covering Abbey Carpet", "Suburban Floor Covering Abbey Carpet"
"Subzero Freezer Company Inc.", "Subzero Freezer Company Inc."
"Dobson Flooring America", "Dobson Flooring America"
"Culver Rug Company", "Culver Rug Company"
"Summerlin Floors Inc.", "Summerlin Floors Inc."
"Superior Floor Designs", "Superior Floor Designs"
"Flooring Systems", "JP Flooring Systems, Inc."
"Swanson Floor Coverings", "Swanson Floor Coverings"
"Sweeney Brothers", "Sweeney Brothers"
"T.F. Andrew Company", "T.F. Andrew Company"
"Tahoe Specialty Carpets & Design Center", "TAHOE SPECIALTY CARPETS & DESIGN CENTER"
"Carpet One", "Hosner Carpet One"
"Carpet One", "The Rug Mart Carpet One"
"Carpet Gallery", "The Carpet Gallery (Wisconsin)"
"The Carpet Shop", "The Carpet Shop"
"The Carpet Store of Milwaukee / Carpet Mill Store", "The Carpet Store of Milwaukee / Carpet Mill Store"
"The Carpetman", "The Carpetman"
"The Dixie Group", "The Dixie Group, Inc."
"Flooring America", "The Famous Carpet Barn / Flooring America"
"The Floor Store", "The Floor Store (AZ)"
"The Flooring Center Orlando", "The Flooring Center Orlando"
"The Great Carpet Company", "The Great Carpet Company"
"The Malchow Co", "The Malchow Co"
"Leader Carpet", "The Marks Org. / Leader Carpet"
"The Rug Gallery", "The Rug Gallery"
"The Rug Gallery of Zionsville", "The Rug Gallery of Zionsville"
"The Square Yard", "The Square Yard"
"K.A. Pridjian & Co.", "K.A. Pridjian & Co."
"Color Interiors", "Color Interiors"
"Commercial Carpet & Rug / Commercial Carpet Corp", "Commercial Carpet & Rug / Commercial Carpet Corp"
"Armstrong World Industries, Inc.", "Armstrong World Industries"
"Steffen Furniture", "Steffen Furniture"
"Viking Range Corporation", "Viking Range Corporation"
"Viking Range Corporation", "Viking Range Corporation"
"Erskine Interiors", "Erskine Interiors"
"Flooring Center Inc", "Greer Flooring Center Inc"
"Sherlock's Carpet & Tile", "Sherlock's Carpet & Tile"
"Tolivers Carpet One / House of Carpet", "Tolivers Carpet One / House of Carpet"
"Merkel Carpet One", "Merkel Carpet One"
"Bixby Plaza Carpets Plus", "Bixby Plaza Carpets Plus"
"TOTAL FLOOR COVERING INC", "Total Floor Covering"
"Tire Centers Inc. ", "Tire Centers Inc."
"Burritt Brothers Carpets", "Burritt Brothers Carpets"
"Sherlock's Carpet & Tile", "Sherlock's Carpet & Tile"
"Viking Range Corporation", "Viking Range Corporation"
"Tudor Carpet One", "Tudor Carpet One"
"Pace Stone", "Pace Stone"
"Levi's 4 Floors", "Levi's 4 Floors"
"Vallow Floor Covering Inc", "Vallow Floor Covering, Inc."
"Value Carpet One", "Value Carpet One"
"Venetian Blind Carpet One", "Venetian Blind Carpet One"
"Viking Range Corporation", "Viking Range Corporation"
"Viking Range Corporation", "Viking Range Corporation"
"Village Barn Carpets & Rugs", "Village Barn Carpets & Rugs"
"Ace Flooring", "Ace Flooring Systems Inc"
"Wallflowers Design Center", "Wallflowers Design Center"
"Florence Carpet & Tile", "Florence Carpet & Tile"
"Tolivers Carpet One / House of Carpet", "Tolivers Carpet One / House of Carpet"
"warehouse carpet", "Warehouse Carpet"
"Wayne Wiles Floor Covering", "Wayne Wiles Floor Covering"
"Weber Carpet Inc.", "Weber Carpet Inc."
"G Fried Carpet", "G Fried Carpet"
"Westbay Decorating", "Westbay Decorating"
"Husqvarna Forest & Garden Products", "Husqvarna Forest & Garden Products"
"SELECT CARPET AND FLOOR INC.", "SELECT CARPET AND FLOOR INC."
"World of Carpet One Floor & Home", "World of Carpet One Floor & Home"
"World of Floors", "World of Floors"
"Yates Flooring Center", "Yates Flooring Center"
"Yonan Carpet One Floor and Home", "Yonan Carpet One Floor and Home"
"Young's Floor Covering", "Young's Floor Covering and Draperies Inc"
"Coles Fine Flooring", "Coles Fine Flooring"
"Mannington", "Mannington Mills, Inc."
"Zersen Flooring", "Zersen Flooring Inc"
2971 of 3851
